system_metadata.id,organisation.country,organisation.url,repository_metadata.software.name,repository_metadata.metadata_record_count,repository_metadata.type,repository_metadata.url,repository_metadata.full_text_record_count,repository_metadata.oai_url,system_metadata.uri,repository_metadata.software.name_other
131,ca,http://www.uwinnipeg.ca/,dspace,1423.0,institutional,http://winnspace.uwinnipeg.ca/,743.0,http://winnspace.uwinnipeg.ca/oai/request,https://v2.sherpa.ac.uk/id/repository/131,
133,de,https://www.hu-berlin.de,dspace,19052.0,institutional,https://edoc.hu-berlin.de/,,http://edoc.hu-berlin.de/oai,https://v2.sherpa.ac.uk/id/repository/133,
134,de,https://www.tu-dortmund.de,dspace,20963.0,institutional,https://eldorado.tu-dortmund.de,9629.0,https://eldorado.tu-dortmund.de/oai/request,https://v2.sherpa.ac.uk/id/repository/134,
135,se,http://www.bth.se/,,1855.0,institutional,http://bth.diva-portal.org/smash/search.jsf?dswid=2623,0.0,http://bth.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/135,
137,us,http://www.psu.edu/,other,4860.0,institutional,https://etda.libraries.psu.edu/,,,https://v2.sherpa.ac.uk/id/repository/137,ETD-db
138,us,http://www.lsu.edu/,other,7801.0,institutional,http://etd.uis.lsu.edu/cgi-bin/ETD-browse/browse,,,https://v2.sherpa.ac.uk/id/repository/138,ETD-db
139,de,https://www.uni-bremen.de,dspace,4221.0,institutional,https://media.suub.uni-bremen.de,,https://media.suub.uni-bremen.de/oai/openaire,https://v2.sherpa.ac.uk/id/repository/139,
142,se,http://www.ltu.se/,diva_portal,25430.0,institutional,http://ltu.diva-portal.org/smash/search.jsf?dswid=-7504,,http://ltu.diva-portal.org/dice/oai,https://v2.sherpa.ac.uk/id/repository/142,
145,us,http://www.drake.edu/,dspace,1836.0,institutional,http://escholarshare.drake.edu/,1112.0,http://escholarshare.drake.edu/oai/request,https://v2.sherpa.ac.uk/id/repository/145,
146,us,https://www.bc.edu,islandora,4819.0,institutional,https://dlib.bc.edu/,,http://dlib.bc.edu/oai2,https://v2.sherpa.ac.uk/id/repository/146,
147,us,http://www.vanderbilt.edu/,other,4961.0,institutional,http://etd.library.vanderbilt.edu/,2545.0,http://etd.library.vanderbilt.edu/NDLTD-OAI/oai.pl,https://v2.sherpa.ac.uk/id/repository/147,ETD-db
148,us,https://www.etsu.edu/ehome/,other,2117.0,institutional,http://dc.etsu.edu/honors/,,,https://v2.sherpa.ac.uk/id/repository/148,Digital Commons
149,in,http://www.iisc.ernet.in/,dspace,3779.0,institutional,http://etd.ncsi.iisc.ernet.in/,,http://etd.ncsi.iisc.ernet.in/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/149,
150,ch,http://www.ethz.ch/,dspace,180671.0,institutional,https://www.research-collection.ethz.ch/,0.0,http://research-collection.ethz.ch/oai,https://v2.sherpa.ac.uk/id/repository/150,
151,it,https://www.eui.eu/en/home,dspace,24869.0,institutional,https://cadmus.eui.eu/,3867.0,https://cadmus.eui.eu/oai/request,https://v2.sherpa.ac.uk/id/repository/151,
152,it,http://www.unina.it/,eprints,9716.0,institutional,http://www.fedoa.unina.it/,6098.0,http://www.fedoa.unina.it/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/152,
153,us,http://www.fiu.edu/,other,23430.0,institutional,http://digitalcommons.fiu.edu/,10543.0,http://digitalcommons.fiu.edu/do/oai/,https://v2.sherpa.ac.uk/id/repository/153,Digital Commons
156,de,https://www.gfz-potsdam.de/,other,10000.0,institutional,https://gfzpublic.gfz-potsdam.de,,https://gfzpublic.gfz-potsdam.de/oai,https://v2.sherpa.ac.uk/id/repository/156,eSciDoc
157,us,http://www.gmu.edu/,dspace,7565.0,institutional,http://mars.gmu.edu,0.0,http://mars.gmu.edu/oai/request?verb=Identify,https://v2.sherpa.ac.uk/id/repository/157,
162,gb,http://www.gla.ac.uk/,eprints,152904.0,institutional,https://www.gla.ac.uk/research/enlighten/,36851.0,http://eprints.gla.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/162,
163,de,http://www.uni-goettingen.de/,,102772.0,institutional,http://webdoc.sub.gwdg.de/,,,https://v2.sherpa.ac.uk/id/repository/163,
165,fr,http://www.inria.fr,hal,112248.0,institutional,http://hal.inria.fr/,22532.0,https://api.archives-ouvertes.fr/oai/inria,https://v2.sherpa.ac.uk/id/repository/165,
167,us,http://www.haverford.edu/,dspace,13595.0,institutional,http://thesis.haverford.edu/dspace/,0.0,http://thesis.haverford.edu/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/167,
171,us,http://www.hofstra.edu,eprints,44.0,institutional,http://hofprints.hofstra.edu/,,,https://v2.sherpa.ac.uk/id/repository/171,
