,clickable_url,url_check
197,http://ecommons.aku.edu/,200
198,http://commons.wmu.se,200
199,http://ink.library.smu.edu.sg/,200
200,https://digitalcommons.kettering.edu,200
201,https://digitalcommons.carleton.edu/,200
202,https://digitalcommons.conncoll.edu/,200
203,https://digitalcommons.trinity.edu/,200
204,http://digitalcommons.pace.edu/,200
205,https://digitalcommons.library.tmc.edu/,200
206,http://digitalcommons.macalester.edu/,200
207,https://opencommons.uconn.edu/,200
208,http://digitalcommons.unl.edu/,200
209,https://scholarworks.utep.edu/,200
210,http://dc.etsu.edu/honors/,200
211,http://digitalcommons.fiu.edu/,200
212,http://jdc.jefferson.edu/,200
213,http://repository.upenn.edu/,ReadTimeoutError
214,https://repository.unm.edu/,200
215,https://scholarworks.uno.edu,200
216,http://digitalcommons.uncfsu.edu/,200
217,http://digitalcommons.providence.edu/,200
218,https://radar.auctr.edu/,200
219,http://digitalcommons.simmons.edu/,ConnectionError
220,http://digitalcommons.law.uga.edu/,200
221,http://digitalcommons.law.umaryland.edu/,200
222,http://digitalcommons.owu.edu,200
223,http://epublish.utdallas.edu/,ConnectionError
224,http://docs.lib.purdue.edu/,200
225,http://repository.wrclib.noaa.gov/,ConnectionError
226,http://escholarship.umassmed.edu/,200
227,http://digitalscholarship.tnstate.edu/,200
228,http://digitalcommons.salve.edu/,200
229,http://digitalcommons.uri.edu/,200
230,http://digitalcommons.wayne.edu/,200
231,http://docs.rwu.edu/,200
232,http://scholarworks.umass.edu/,200
233,http://digitalcommons.bryant.edu/,200
234,http://digitalcommons.liberty.edu/,200
235,http://digitalcommons.wku.edu/,200
236,http://www.resourcerepository.org/,ConnectionError
237,http://scholarsarchive.jwu.edu/,200
238,http://digitalcommons.iwu.edu/,200
239,http://digitalcommons.calpoly.edu/,200
240,http://fordham.bepress.com/,200
241,http://repository.ucop.edu/,200
242,http://scholarsmine.mst.edu/,200
243,https://corescholar.libraries.wright.edu,200
244,http://opensiuc.lib.siu.edu/,200
245,http://scholarsarchive.byu.edu/,200
246,https://scholarship.claremont.edu/,200
247,http://digitalcommons.usu.edu/,200
248,http://repository.cmu.edu/,200
249,http://digitalcommons.ohsu.edu/etd/,404
250,http://oculaw.works.bepress.com/,200
251,http://wesscholar.wesleyan.edu/,200
252,http://digitalcommons.hsc.unt.edu/,ConnectionError
253,http://scholarworks.boisestate.edu/,200
254,http://digitalcommons.fortlewis.edu/,ConnectionError
255,http://dc.cod.edu/,200
256,http://digitalcommons.butler.edu/,200
257,http://scholarworks.gvsu.edu/,200
258,http://scholarship.law.duke.edu/,200
259,http://scholar.oxy.edu/,ConnectionError
260,https://digitalscholarship.unlv.edu,200
261,http://trace.tennessee.edu/,200
262,http://epublications.marquette.edu/,200
263,http://scholars.law.unlv.edu/,200
264,http://scholarship.law.georgetown.edu/,200
265,http://digitalcommons.wustl.edu/,200
266,https://scholarworks.sjsu.edu,200
267,http://surface.syr.edu/,200
268,http://sophia.stkate.edu/,200
269,http://digitalcommons.linfield.edu/,200
270,http://scholarworks.gsu.edu,200
271,http://lawdigitalcommons.bc.edu/,ConnectionError
