,full_query_x,manual_software_count_x,category_x,clickable_url,Unnamed: 0,system_metadata_id,organisation_country,organisation_url,repository_metadata_software_name,repository_metadata_metadata_record_count,repository_metadata_type,repository_metadata_url,manual_software_count_y,url_check,category_y,full_query_y,repository_metadata_full_text_record_count,repository_metadata_oai_url,system_metadata_uri,repository_metadata_software_name_other
20,,,,waseda.repo.nii.ac.jp/,51,117,jp,https://www.waseda.jp/top/en,weko,46388.0,institutional,https://waseda.repo.nii.ac.jp/,,200,Does not contain software,https://waseda.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&meta=&title=&creator=&des=&typeList=12&jtitle=&pubYearFrom=&pubYearUntil=&idx=&wekoAuthorId=&count=20&order=7&pn=1&page_id=13&block_id=21,39513.0,http://waseda.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/117,
21,,,,www-std01.ufinity.jp/thulib/index.php?action=pages_view_main&active_action=v3search_view_main_init&block_id=296&change_locale=en,4725,9804,jp,https://www.thu.ac.jp/english/about,iliswave j,,institutional,https://www-std01.ufinity.jp/thulib/index.php?action=pages_view_main&active_action=v3search_view_main_init&block_id=296&change_locale=en,0.0,ReadTimeoutError,Does not contain software,https://www-std01.ufinity.jp/thulib/index.php?action=pages_view_main&active_action=v3search_view_main_init&op_param=gcattp_flag%3Dall%26srhclm1%3Dwords%26valclm1%3D%26optclm1%3DAND%26srhclm2%3Dtitle%26valclm2%3D%26optclm2%3DAND%26srhclm3%3Dauth%26valclm3%3D%26optclm3%3DAND%26srhclm4%3Dpub%26valclm4%3D%26body%3D%26cont%3D%26year_y%3D%26year_m%3D%26year_d%3D%26code_type%3D%26code%3D%26bibid%3D%26lang%3D%26niitype%3D32%26format%3D%26sortkey%3Dsyear%252Csauth%252FDESC%26listcnt%3D10%26startpos%3D%26fromDsp%3Dcatsrr%26searchDsp%3Dcatsrr%26initFlg%3D_RESULT_SET%26hitcnt%3D%26searchsql%3D%26searchhis%3D%26akey%3D%26sdi%3D%26fct_gcattp%3D%26fct_auth%3D%26fct_pub%3D%26fct_year%3D%26fct_cls%3D%26fct_sh%3D%26fct_lang%3D%26fct_holar%3D%26fct_tag%3D%26fct_campus%3D%26fct_range_year%3D%26fct_stamp%3D%26fct_holstat%3D%26words%3D%26title%3D%26auth%3D%26pub%3D%26sh%3D%26ncid%3D%26hasbody%3D&block_id=296&tab_num=1&search_mode=detail#search_list-1,,https://lib.thu.ac.jp/oai/oai-pmh.do,https://v2.sherpa.ac.uk/id/repository/9804,iLiswave-J
22,,,,yashima.repo.nii.ac.jp,4816,9915,jp,https://www.yashima.ac.jp/univ/,weko,,institutional,https://yashima.repo.nii.ac.jp,0.0,200,Does not contain software,https://yashima.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://yashima.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9915,
23,,,,ynu.repo.nii.ac.jp/,524,965,jp,http://www.ynu.ac.jp/,weko,7836.0,institutional,https://ynu.repo.nii.ac.jp/,0.0,ConnectionError,Does not contain software,https://ynu.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&all=&title=&creator=&typeList=12&jtitle=&pubYearFrom=&pubYearUntil=&ln=&idx=&wekoAuthorId=&count=20&order=18&pn=1&page_id=59&block_id=74,0.0,http://ynu.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/965,
24,,,,dspace.bunka.ac.jp/dspace,1192,1906,jp,http://www.bunka.ac.jp/,dspace,98.0,institutional,http://dspace.bunka.ac.jp/dspace,,ConnectionError,error,,1.0,http://dspace.bunka.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/1906,
25,,,,koara-a.lib.keio.ac.jp,3745,5858,jp,https://www.keio.ac.jp/en/,xoops,1778.0,institutional,http://koara-a.lib.keio.ac.jp,,ConnectionError,error,,,http://koara-a.lib.keio.ac.jp/xoonips/modules/xoonips/oai.php,https://v2.sherpa.ac.uk/id/repository/5858,XOOPS
26,,,,koara.lib.keio.ac.jp,320,578,jp,http://www.keio.ac.jp/,xoonips,71608.0,institutional,http://koara.lib.keio.ac.jp,,ConnectionError,error,,1766.0,http://koara.lib.keio.ac.jp/xoonips/modules/xoonips/oai.php,https://v2.sherpa.ac.uk/id/repository/578,
27,,,,libopac.fukuoka-edu.ac.jp/dspace/,1232,1952,jp,http://www.fukuoka-edu.ac.jp/,dspace,1415.0,institutional,http://libopac.fukuoka-edu.ac.jp/dspace/,,ConnectionError,error,,,http://libopac.fukuoka-edu.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/1952,
28,,,,m-repo.lib.meiji.ac.jp/dspace/,689,1217,jp,http://www.meiji.ac.jp/,dspace,16392.0,institutional,http://m-repo.lib.meiji.ac.jp/dspace/,,ConnectionError,error,,8515.0,http://m-repo.lib.meiji.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/1217,
29,,,,naosite.lb.nagasaki-u.ac.jp/dspace/?locale=en,464,870,jp,http://sun.ac.jp/,dspace,33233.0,institutional,http://naosite.lb.nagasaki-u.ac.jp/dspace/?locale=en,,ConnectionError,error,,2.0,http://naosite.lb.nagasaki-u.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/870,
30,,,,nda-repository.nda.ac.jp/,4743,9832,jp,https://www.mod.go.jp/nda/,dspace,,institutional,http://nda-repository.nda.ac.jp/,,ReadTimeoutError,error,,,http://nda-repository.nda.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/9832,
31,,,,okinawa-repo.lib.u-ryukyu.ac.jp/,1217,1936,jp,http://www.u-ryukyu.ac.jp/,dspace,5794.0,institutional,http://okinawa-repo.lib.u-ryukyu.ac.jp/,,ConnectionError,error,,,,https://v2.sherpa.ac.uk/id/repository/1936,
32,,,,opac.library.twcu.ac.jp/portal/index.htm,1259,1984,jp,http://www.twcu.ac.jp/,,5436.0,institutional,http://opac.library.twcu.ac.jp/portal/index.htm,,ConnectionError,error,,,,https://v2.sherpa.ac.uk/id/repository/1984,
33,,,,portal.dl.saga-u.ac.jp/,600,1066,jp,http://www.saga-u.ac.jp/,dspace,4376.0,institutional,http://portal.dl.saga-u.ac.jp/,,ConnectionError,error,,3898.0,http://portal.dl.saga-u.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/1066,
34,,,,repo.flib.u-fukui.ac.jp/dspace/,557,1009,jp,http://www.u-fukui.ac.jp/,dspace,8203.0,institutional,http://repo.flib.u-fukui.ac.jp/dspace/,,ConnectionError,error,,4731.0,http://repo.flib.u-fukui.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/1009,
35,,,,repository.hyogo-u.ac.jp/,1184,1894,jp,http://www.hyogo-u.ac.jp/,dspace,14401.0,institutional,http://repository.hyogo-u.ac.jp/,,ConnectionError,error,,,http://repository.hyogo-u.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/1894,
36,,,,repository.lib.tottori-u.ac.jp/Repository/Index.e,1226,1945,jp,http://www.tottori-u.ac.jp/,earmas,6494.0,institutional,http://repository.lib.tottori-u.ac.jp/Repository/Index.e,,404,error,,5368.0,http://repository.lib.tottori-u.ac.jp/Repository/oai/Request,https://v2.sherpa.ac.uk/id/repository/1945,
37,,,,repository.niigata-cn.ac.jp/dspace/,1354,2103,jp,http://www.niigata-cn.ac.jp/index2.htm,dspace,992.0,institutional,http://repository.niigata-cn.ac.jp/dspace/,,ConnectionError,error,,0.0,http://repository.niigata-cn.ac.jp/dspace-oai/request,https://v2.sherpa.ac.uk/id/repository/2103,
